label,n_months,avg_firms_month,alpha_monthly_pct,alpha_annual_pct,t_alpha,p_alpha,stars,R2,beta_mkt
All events (US),72,20.046008086998217,0.3639965466387578,4.367958559665094,0.13686742324324128,0.8915460400164279,,0.2373212883823358,2.0735982747555246
Pre-ChatGPT,36,10.44970692062299,-3.8958928241722495,-46.75071389006699,-1.856683217812892,0.07288176948878407,*,0.6082173547504715,1.6531632281784563
Post-ChatGPT,40,25.632719880234184,5.672042087470443,68.06450504964532,1.2783333786016353,0.20954447007641006,,0.21767819604687422,1.2576597702506278
"Post-ChatGPT, AI",40,4.4408650105559175,0.7326199902647499,8.791439883176999,0.5003844143252159,0.6199364135933827,,0.2936916550657058,0.7605724269992675
"Post-ChatGPT, Non-AI",40,21.213760240522255,8.641724331787486,103.70069198144985,1.2080189618240866,0.23513937159260828,,0.18049701671379526,1.2675826062502384
