company_fyi,ticker,period,announcement_date,listing_region,industry,ai_mentioned,layoff_count,layoff_pct,CAR_1_1,CAR_0_1,CAR_0_5,CAR_0_20,CAR_5_60,alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs
SenseTime,0020.HK,post_genai,2023-08-28,INTL,AI,1,,,-0.012504276155636852,0.015591251642807445,-0.03045642055416812,-0.15784140882617054,-0.05292494770163283,-0.0014320393798522091,-0.21455900570579117,0.0317275802538991,243
Samsung,005930.KS,post_genai,2023-03-14,INTL,Hardware,0,30.0,,0.026208062545020394,0.0007724818949327236,0.011299992522660042,0.0711953964804754,0.23105370560317426,-0.0007582702396300438,0.00762953584602534,0.06223930850319148,240
NCSoft,036570.KS,post_genai,2023-02-02,INTL,Consumer,0,,20%,0.02528563636558891,0.020956750495979656,-0.02506992390151689,-0.100901285778068,-0.19292139010180237,-0.0009975431664938465,0.08105924919870991,0.035568684720272636,239
Tencent,0700.HK,pre_genai,2022-11-15,INTL,Consumer,0,,,0.15098079682173077,0.1357404090342926,0.09878860272042059,0.2817611505160758,0.6590592278490508,-0.0030490712798219794,0.07509752152962343,0.030261262696866686,242
Lenovo,0992.HK,pre_genai,2022-12-08,INTL,Hardware,0,,,-0.012180315573827444,0.01776201606345647,0.046480578636417934,0.056717235127013294,0.1446155802533048,-0.0005293960589181397,0.19502996288623942,0.02204247341147758,242
Lenovo,0992.HK,post_genai,2025-07-16,INTL,Hardware,0,100.0,3%,0.03349636494306319,0.003550071527445022,-0.005902885345406913,0.15892475614413337,0.27853580954898804,3.246474716607972e-05,0.1926058487003453,0.03969389758676378,242
Xiaomi,1810.HK,pre_genai,2022-12-19,INTL,Consumer,0,,,-0.02990695146947304,-0.0317081542958151,0.042678654886916384,0.09414016773881759,0.16430033927179216,-0.002592214330929716,0.18594117447771524,0.019053152653861205,242
Thinkific,5S0A.F,pre_genai,2022-12-05,INTL,Education,0,,,0.036706098077431096,-0.0005168517515686949,0.03707023262619904,0.3128959998518162,0.8893144025047997,-0.0061513089533940446,0.5495364186302064,0.020239563715350295,244
Superloop,9SL.F,pre_genai,2020-08-24,INTL,Infrastructure,0,30.0,,0.0014772962498381947,-0.00565802506245538,-0.08633716440268922,-0.12091478651787865,-0.3220021206406374,0.00025706978800076107,0.4553855404885181,0.04594561685130627,244
Apple,AAPL,post_genai,2023-04-03,US,Retail,0,,,0.0006637082535737881,0.002424476592039489,-0.02363577721609251,-0.017099930594408386,-0.0019257665311909608,0.00020617164576497237,1.1931041153521889,0.7856465516527679,250
Apple,AAPL,post_genai,2024-02-27,US,Transportation,0,,,-0.003024379849893998,0.0006732209051024682,-0.057846658915830074,-0.08184356299636099,0.003757667230214732,-0.00024033078956745948,1.075052145143675,0.5795245813838996,250
