day,caar_pct,ci_lo,ci_hi
-10,0.5525599211605656,0.16522927345708827,0.939890568864043
-9,0.15529643542293958,-0.3647898587066003,0.6753827295524795
-8,0.20560799133077168,-0.4465295073430311,0.8577454900045743
-7,0.23944111607675733,-0.42545137169803526,0.9043336038515499
-6,0.22233005656913263,-0.527086917899882,0.9717470310381473
-5,0.2684492159321322,-0.5303135789828379,1.0672120108471022
-4,0.028405447819358387,-0.8581084825128638,0.9149193781515806
-3,-0.11020942727788352,-1.0574588349336782,0.8370399803779108
-2,0.23611203206264708,-0.7865350631507388,1.258759127276033
-1,0.0,-1.093149578913037,1.0931495789130368
0,-0.4113379692431458,-1.6800744139749848,0.8573984754886931
1,-0.7155435906681804,-2.100341410171094,0.669254228834733
2,-0.6449871337270252,-2.0561481586479013,0.766173891193851
3,-0.7027381933190191,-2.1876952917568744,0.7822189051188366
4,-0.8876140073775407,-2.4134627735134657,0.6382347587583844
5,-0.6739233435360727,-2.2261493120508997,0.878302624978754
6,-0.5097423721541827,-2.125207581020222,1.1057228367118563
7,-0.433236966023129,-2.1308780738326605,1.2644041417864025
8,-0.3104898158806688,-1.9843692786540177,1.36338964689268
9,-0.17166663782717606,-1.8402584118732164,1.4969251362188642
10,0.07724131297853432,-1.6395032428061609,1.7939858687632295
11,0.28941515994575107,-1.4813471596160577,2.06017747950756
12,0.3293160183279191,-1.4982025514884154,2.156834588144253
13,0.5123218780094383,-1.286072839524719,2.310716595543596
14,0.8742955228487056,-0.9607849349628381,2.709375980660249
15,0.6637136093296064,-1.2282858093120232,2.555713027971236
16,0.4935004825637962,-1.3968933955698026,2.3838943606973952
17,0.6775047324649626,-1.2292668744273585,2.5842763393572836
18,0.9683000216154017,-0.9967863354067794,2.933386378637583
19,1.4139534987206621,-0.605373634939681,3.4332806323810052
20,1.2843602147457345,-0.7259619660835486,3.2946823955750175
21,1.1512378110761585,-0.8608643747465714,3.163339996898888
22,1.2291435833770734,-0.8251488641301818,3.2834360308843284
23,1.1597211025502971,-0.9133933647393047,3.232835569839899
24,1.3264423817959285,-0.8023075959013064,3.4551923594931635
25,1.5154128196006869,-0.6775771441955816,3.7084027833969553
26,1.9226635925205235,-0.27599070070535503,4.121317885746402
27,1.589321875389063,-0.6418547126222358,3.8204984634003623
28,1.9242976820498412,-0.37081913691110047,4.2194145010107835
29,1.964510641192245,-0.31512304853247586,4.244144330916966
30,1.9004462648142968,-0.39929173462808576,4.200184264256679
31,2.0121436416237515,-0.31445386655636676,4.33874114980387
32,2.061348745540728,-0.28511800491671835,4.407815495998174
33,1.9792679475506225,-0.3903832375103993,4.348919132611644
34,2.320354247928659,-0.15844408856862446,4.799152584425942
35,2.415832987204178,-0.07708492676259682,4.9087509011709525
36,2.6937243776828708,0.20726305264075062,5.180185702724991
37,2.8213996824520318,0.2848935201354874,5.3579058447685775
38,2.9604642226221727,0.4011339246212633,5.519794520623082
39,3.240936643722194,0.6544859406469369,5.827387346797451
40,2.934197615801164,0.3412261044659741,5.527169127136354
41,2.9666728338497617,0.35893899253483375,5.57440667516469
42,3.064700276862921,0.4184227861784625,5.71097776754738
43,3.1963780484479027,0.5184280755355479,5.874328021360258
44,3.0212883175765595,0.3030758672734113,5.739500767879708
45,3.0693157612063855,0.3124246803047719,5.826206842107998
46,3.20318975053865,0.43159656869774343,5.974782932379556
47,3.348517042203444,0.5172871505447155,6.179746933862173
48,3.7101999402308095,0.7908306707583551,6.629569209703265
49,3.515304911436215,0.6004693001472609,6.43014052272517
50,3.6417014304929327,0.7125630682025766,6.570839792783289
51,3.7959653280762664,0.8373452270971308,6.7545854290554015
52,4.027325135168719,1.071092569226489,6.98355770111095
53,4.310496266546158,1.3161036405924906,7.304888892499825
54,4.29129037843806,1.2547158203492301,7.32786493652689
55,4.649694489441876,1.5361705869298674,7.763218391953886
56,4.902525125039617,1.799662030366449,8.005388219712783
57,5.166216262210273,2.05072724112192,8.281705283298628
58,5.116318381558152,1.9630186474024691,8.269618115713834
59,5.55376647764561,2.324210167279489,8.783322788011732
60,5.622241108745174,2.3914919607777727,8.852990256712573
