sample,model,window,N,CAAR,CAAR_pct,t_patell,p_patell,t_BMP,p_BMP,t_corrado,p_corrado,stars
US only (PRIMARY),CAPM,"[-1,+1]",429,-0.007123044038087955,-0.7123044038087954,-3.755574063747404,0.0001729446061173867,-1.9409806799614502,0.05291676945414525,-2.5739557081527513,0.01005431434095816,*
US only (PRIMARY),CAPM,"[0,+5]",429,-0.00535483304360081,-0.5354833043600811,-2.599453813209531,0.009337224263815225,-1.662481617847714,0.09714836962344209,-2.507295788500338,0.012165885740700988,*
US only (PRIMARY),CAPM,"[0,+10]",429,0.004362123845172357,0.4362123845172357,-0.5644573854575693,0.5724428940716304,-0.39422740157403446,0.6936095059814289,-1.9889489502746023,0.04670683797743869,
US only (PRIMARY),CAPM,"[0,+20]",429,0.019311298710426462,1.931129871042646,1.860599508042559,0.06280075436950971,1.4045387679648418,0.16088376220534872,-0.60195170223869,0.5472062872009213,
US only (PRIMARY),CAPM,"[0,+60]",429,0.05706300041223207,5.706300041223207,3.925666657200931,8.648986263937175e-05,2.9317653598847135,0.003551151201176772,0.13393812192808977,0.8934515049221419,***
Condition A (FF4),CAPM,"[-1,+1]",263,-0.003565478235722025,-0.3565478235722025,-1.7311350312103069,0.08342768360914699,-0.8429348872039113,0.4000337251428374,-1.4461391463534172,0.14813817783569894,
Condition A (FF4),CAPM,"[0,+5]",263,0.004621738934541645,0.4621738934541645,-0.22705298878670047,0.8203825388643036,-0.14289192359183572,0.8864853668324393,-0.8704691993070377,0.3840440443486075,
Condition A (FF4),CAPM,"[0,+10]",263,0.002796898157618304,0.27968981576183044,-0.6173976643376099,0.5369724622224346,-0.45127687579392073,0.6521633051079405,-2.484888171601408,0.012959213698323868,
Condition A (FF4),CAPM,"[0,+20]",263,0.018572698879839717,1.8572698879839717,1.5032537013245488,0.13277363425342958,1.142021297314687,0.2544877875133713,-0.7708632742874734,0.44078797765655775,
Condition A (FF4),CAPM,"[0,+60]",263,0.05500584491366823,5.500584491366823,3.203855987863293,0.0013560028596057982,2.5917163393495177,0.010085590893418761,0.7656313245356691,0.44389570043850535,**
Full sample,CAPM,"[-1,+1]",468,-0.004835933676371167,-0.4835933676371167,-3.0336886509654795,0.0024158361303425746,-1.5964034801079048,0.11107517107301623,-1.9102198017801406,0.056104918609108934,
Full sample,CAPM,"[0,+5]",468,-0.003638227100945036,-0.3638227100945036,-2.088314706160854,0.03676945573929924,-1.3530555095296255,0.17669253620738434,-2.065321862044322,0.03889255635777644,
Full sample,CAPM,"[0,+10]",468,0.0058511253315819516,0.5851125331581951,-0.2089411626405164,0.8344941701239246,-0.1461709516178336,0.8838495101057076,-1.64840121617279,0.0992703666328032,
Full sample,CAPM,"[0,+20]",468,0.022613668582136457,2.2613668582136457,2.4383749826735373,0.01475346089633578,1.830569124943216,0.06780198020660344,-0.0025795996524062745,0.997941779546974,*
Full sample,CAPM,"[0,+60]",468,0.05917063794580093,5.917063794580093,4.308274525208689,1.6453308947728118e-05,3.1710535787470455,0.0016188173936455552,0.5947272834910041,0.552025781269315,***
"Core tech, US only",CAPM,"[-1,+1]",182,-0.010174820590009332,-1.0174820590009332,-3.2986828290379946,0.0009713959955526263,-1.735494162445466,0.08435526332460253,-1.5420157477475196,0.12306976686061843,*
"Core tech, US only",CAPM,"[0,+5]",182,-0.0019279167413879385,-0.19279167413879383,-1.5056952760480613,0.13214541721696227,-0.922694198276033,0.35739491366747744,-1.1419700227246663,0.25346648042780506,
"Core tech, US only",CAPM,"[0,+10]",182,0.0025030535257723804,0.250305352577238,-0.7657059904506451,0.44385126185470547,-0.47020497821637974,0.6387746402181613,-1.2622317149550755,0.206865419722722,
"Core tech, US only",CAPM,"[0,+20]",182,0.030743228889240647,3.0743228889240646,2.5456436261339297,0.010907648173121842,1.7097049424002906,0.08903416426257227,0.12201912072164248,0.9028838752747343,*
"Core tech, US only",CAPM,"[0,+60]",182,0.07181353787152998,7.181353787152998,3.654018624470738,0.00025816752851848257,2.3375251654646054,0.020505249300750483,0.6753058735119657,0.4994814530516898,**
"Non-tech, US only",CAPM,"[-1,+1]",247,-0.004874366578777463,-0.4874366578777463,-2.117871882002683,0.03418591951793015,-1.0793263708140242,0.28149936599352077,-2.0581036693091455,0.03958018286771292,
"Non-tech, US only",CAPM,"[0,+5]",247,-0.007879929266283977,-0.7879929266283977,-2.133320718225934,0.03289842577668001,-1.4084864328673878,0.16024968534915107,-2.30234489356083,0.02131572998562925,
"Non-tech, US only",CAPM,"[0,+10]",247,0.005731965133151288,0.5731965133151288,-0.0866162170047189,0.9309765750418089,-0.0681677554947799,0.9457074686180089,-1.5384176258278335,0.12394653533989497,
"Non-tech, US only",CAPM,"[0,+20]",247,0.010887771210247602,1.08877712102476,0.2669032182942237,0.7895436786690031,0.22481906037064,0.82230666982102,-0.8997330431310544,0.36826233433011035,
"Non-tech, US only",CAPM,"[0,+60]",247,0.04619418333695992,4.619418333695992,2.037017232806818,0.04164831511696754,1.7777042461779198,0.07668778192252601,-0.4724869500021611,0.6365792543666904,*
"US only, Post-GenAI (>=2023)",CAPM,"[-1,+1]",311,-0.00926346996995779,-0.9263469969957789,-4.097824538709366,4.1705121252011423e-05,-2.2519754613868703,0.02502345712164078,-2.365587228625826,0.01800150210853002,**
"US only, Post-GenAI (>=2023)",CAPM,"[0,+5]",311,-0.005091818046467302,-0.5091818046467302,-2.678560253301538,0.0073939427836451355,-1.7631673876301006,0.07885744524961136,-1.9916253490943159,0.04641217993435509,*
"US only, Post-GenAI (>=2023)",CAPM,"[0,+10]",311,-0.001900091001756472,-0.1900091001756472,-1.9409229114059763,0.05226762851176292,-1.4170805084168512,0.15746359137501464,-2.2004511383427947,0.02777490300876173,
"US only, Post-GenAI (>=2023)",CAPM,"[0,+20]",311,0.01063394932881231,1.0633949328812309,0.2622419410563223,0.7931349202120277,0.20123741831214398,0.840644909740621,-0.9851252010819793,0.32456257598139926,
