outcome,spec,variable,coef,se,pval,stars,N,R2,sample
"CAR[-1,+1]",DID (no controls),ai_mentioned,6.689431362572788,5.458428686300359,0.22037812869667028,,422,0.0037971171873397713,US only (PRIMARY)
"CAR[-1,+1]",DID (no controls),post_chatgpt,0.36511605473068043,1.1913723240869285,0.7592492600213399,,422,0.0037971171873397713,US only (PRIMARY)
"CAR[-1,+1]",DID (no controls),ai_x_post,-7.070808532634949,5.6698364664637,0.2123637120326498,,422,0.0037971171873397713,US only (PRIMARY)
"CAR[-1,+1]",DID (no controls),const,-1.2407487564201598,1.0740040363777954,0.24798593268255886,,422,0.0037971171873397713,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,ai_mentioned,2.0074325628078067,2.059002006954717,0.3295830010710744,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,post_chatgpt,1.966212780834316,2.1187607631482677,0.3534068859153643,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,ai_x_post,-2.763934457934436,3.8606472683004234,0.47403757070805586,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,log_count,0.8333735207431112,0.6424824460203851,0.1945916731942151,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,layoff_pct_n,-0.04675077238302819,0.135080346289592,0.7292705424288602,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,beta_mkt_ff4,-2.3759706421863003,2.1806508492484253,0.27590282715684356,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,intl,-8.270293033051907e-16,4.812163181949665e-16,0.0856830897805099,*,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,prior_6m_return,-5.48202439258465,3.450349629574678,0.11209842546052758,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,log_funds_raised,0.08066816700132162,0.44081438603957224,0.8547995594363593,,188,0.037043360505296774,US only (PRIMARY)
"CAR[-1,+1]",DID + controls,const,-5.084645442316577,4.402262108023823,0.2480873839678257,,188,0.037043360505296774,US only (PRIMARY)
"CAR[0,+20]",DID (no controls),ai_mentioned,21.001575451676956,26.827498762250315,0.43372246906597633,,422,0.011154214462830603,US only (PRIMARY)
"CAR[0,+20]",DID (no controls),post_chatgpt,-0.7026377293852121,2.1853670630245396,0.7478168745354631,,422,0.011154214462830603,US only (PRIMARY)
"CAR[0,+20]",DID (no controls),ai_x_post,-20.286279523074352,27.20249261457621,0.45581799022895886,,422,0.011154214462830603,US only (PRIMARY)
"CAR[0,+20]",DID (no controls),const,1.4762216314347985,1.983678583918633,0.4567652370487948,,422,0.011154214462830603,US only (PRIMARY)
"CAR[0,+20]",DID + controls,ai_mentioned,16.55844218057763,50.61972492299092,0.7435813423671168,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,post_chatgpt,6.254757283034815,3.663473206018537,0.08776075465554622,*,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,ai_x_post,-20.019355168014453,52.53206898659753,0.7031377527774856,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,log_count,1.1457594648280536,0.9976161580683918,0.2507633266397915,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,layoff_pct_n,0.18518956867308034,0.23975300166214025,0.4398668107467657,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,beta_mkt_ff4,-0.41740023339602983,4.415550027540085,0.9246884603295247,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,intl,-3.555145603795667e-15,8.390426102183447e-15,0.6717740040709905,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,prior_6m_return,-9.912991311552135,4.840082543546492,0.040549832457518226,**,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,log_funds_raised,-0.1897962116911499,0.8282456060414985,0.81874883164414,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+20]",DID + controls,const,-12.588956646768008,8.895368733920881,0.15700225898746548,,188,0.05562957842869298,US only (PRIMARY)
"CAR[0,+60]",DID (no controls),ai_mentioned,-38.31340356293832,31.505750636349404,0.22395577438481318,,422,0.019116280026717503,US only (PRIMARY)
"CAR[0,+60]",DID (no controls),post_chatgpt,-7.197170850961587,3.7894410904641735,0.05752901739455506,*,422,0.019116280026717503,US only (PRIMARY)
"CAR[0,+60]",DID (no controls),ai_x_post,40.47967101810394,32.432571569961304,0.21198790772070775,,422,0.019116280026717503,US only (PRIMARY)
"CAR[0,+60]",DID (no controls),const,11.437857578421944,3.4503605345294064,0.0009165144774738642,***,422,0.019116280026717503,US only (PRIMARY)
"CAR[0,+60]",DID + controls,ai_mentioned,-61.32953741784743,27.62956973716926,0.026438692712315894,**,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,post_chatgpt,4.798392225545689,6.269882239250236,0.4440880485199231,,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,ai_x_post,54.384828553929275,35.13346910516468,0.12163450608679237,,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,log_count,3.0914536728025563,1.5962937394617773,0.052788800413043666,*,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,layoff_pct_n,0.0026490121760233964,0.3189926991750232,0.9933742006338858,,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,beta_mkt_ff4,-1.9862747762325004,6.660289888620324,0.76553031648036,,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,intl,8.101819815324445e-15,4.687294745804024e-15,0.08390508555668179,*,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,prior_6m_return,-25.956788127367584,7.761992630796472,0.0008255348109895876,***,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,log_funds_raised,0.2648347650693528,1.208639598563219,0.8265580821157456,,188,0.1171394685153635,US only (PRIMARY)
"CAR[0,+60]",DID + controls,const,-18.164732159779312,14.306309241181305,0.20419123094481906,,188,0.1171394685153635,US only (PRIMARY)
