outcome,variable,coef,se,pval,stars,N,R2,R2_adj
"CAR[-1,+1]",ai_mentioned,2.006121484498078,2.058178482520816,0.3297054966629044,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",post_chatgpt,1.9387009227666891,2.106195653839805,0.3573244728607273,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",ai_x_post,-2.713806524120506,3.863759923870423,0.4824456307980265,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",log_count,0.785730850738543,0.63129995611832,0.21327012567369663,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",layoff_pct_n,-0.04809469361569475,0.13418922189970023,0.7200368738598171,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",beta_mkt_ff4,-2.4665338224137203,2.168606566020211,0.255378677030379,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",intl,6.019090018006804,2.913218902865273,0.03881617232867925,**,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",prior_6m_return,-5.389794391552043,3.425988364739678,0.11567052242770486,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",log_funds_raised,0.08455669612712091,0.4365907333959777,0.8464303936911663,,191,0.03830209853731603,-0.009517134132099203
"CAR[-1,+1]",const,-4.655937149352244,4.3236088803751445,0.2815411939217104,,191,0.03830209853731603,-0.009517134132099203
"CAR[0,+20]",ai_mentioned,16.514883671858037,50.74447980893417,0.7448391360989748,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",post_chatgpt,6.368446518815521,3.6889596764115713,0.08428392997400569,*,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",ai_x_post,-19.496482281394247,52.79133710071531,0.7118950692417747,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",log_count,1.0934305342357267,0.9819009558896352,0.26545710780613063,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",layoff_pct_n,0.18255093773497622,0.23828882372230242,0.44362212158821435,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",beta_mkt_ff4,-0.4434307099503504,4.451382866252502,0.9206488779483628,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",intl,9.196551591155275,9.049487592802581,0.30950983503304363,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",prior_6m_return,-10.092571404571974,4.863052732902368,0.03795344366236264,**,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",log_funds_raised,-0.1551213570023019,0.8200700029474529,0.849970365100424,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+20]",const,-12.472938533134869,8.769758922013906,0.1549487609519927,,191,0.056407673707875694,0.00948871825688613
"CAR[0,+60]",ai_mentioned,-22.371158005504892,3.6617507639693643,9.999648898575026e-10,***,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",post_chatgpt,3.4857952378613883,4.095240477458959,0.3946682251787781,,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",ai_x_post,27.875841415714206,14.752677916527663,0.05881890588819983,*,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",log_count,2.3808114616986984,1.0435306934974904,0.02251909282607979,**,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",layoff_pct_n,0.15387536066370264,0.21946690064704388,0.48322037534947226,,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",beta_mkt_ff4,-1.8066081909904896,3.968485096299808,0.6489374862550541,,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",intl,-3.664607039187799,27.608637917275267,0.8944036926738773,,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",prior_6m_return,-11.667523198041804,4.767903951437448,0.014401209705727181,**,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",log_funds_raised,-0.34856761763413613,0.8057016645132753,0.6652863810163028,,191,0.07317810217956544,0.027093035437112944
"CAR[0,+60]",const,-13.659381003413417,9.492493969437744,0.15016000908061455,,191,0.07317810217956544,0.027093035437112944
