company,location,total_laid_off,date,announcement_date_verified,percentage_laid_off,industry,sourceweb,stage,funds_raised,country,notes,source,ai_mentioned
Zebra Technologies,"Lincolnshire, Illinois",,12/12/2025,,,Hardware,https://www.therobotreport.com/zebra-technologies-winding-down-fetch-based-mobile-robot-group/,Post-IPO,,United States,"Is winding down its autonomous mobile robot (AMR) business, which was built after it acquired Fetch Robotics in 2021, per a report. The Illinois-based company is now considering whether to sell the AMR unit or shut it down, with most employees expected to leave by the end of 2025.",techcrunch,0
Amazon,"Seattle, Washington",84,12/15/2025,,,Retail,https://www.geekwire.com/2025/filing-amazon-cuts-84-jobs-in-washington-state-unrelated-to-broader-layoffs/,Post-IPO,,United States,"Is cutting 84 jobs in Seattle and Bellevue in its latest round of layoffs, according to several media reports. The reductions affect roles across engineering, recruiting, software development, and product management. The layoffs are scheduled for February 2 through February 23, 2026, and affected employees will receive at least 90 days of pay, benefits, and job transition assistance.",techcrunch,0
Payoneer,New York City,60,12/08/2025,,,Fintech,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,Post-IPO,,United States,"Will let go of about 30 employees in Israel and a similar number of staff overseas, bringing the total reduction to roughly 6% of its global workforce.",techcrunch,0
Mobileye,"Jerusalem, Israel",200,12/08/2025,,,Hardware,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,Post-IPO,,Israel,"Is reportedly cutting 200 employees, about 4% of its global workforce. With over 3,000 of its 4,300 employees based in Israel, most of the cuts will affect its local teams.",techcrunch,0
Intel,"Santa Clara, California","21,000",12/09/2025,,,Hardware,https://techcrunch.com/2025/04/22/intel-reportedly-plans-to-lay-off-over-21000-employees/,Post-IPO,,United States,"The company continued with its stated goal of cutting a significant amount of its workforce this year, with 59 Bay Area jobs eliminated effective November 30, in a Employment Development Department filing caught by KRON4.",techcrunch,1
HP,"Palo Alto, California, USA",4000-6000,11/26/2025,,,Hardware,https://www.reuters.com/business/hp-cut-about-6000-jobs-by-2028-ramps-up-ai-efforts-2025-11-25/,Post-IPO,,United States,"Is reportedly set to cut 4,000 to 6,000 jobs worldwide by 2028 as it looks to streamline operations and leverage AI to speed up product development and boost efficiency.",techcrunch,1
Apple,"Cupertino, California, USA",100,11/25/2025,,,Hardware,https://www.bloomberg.com/news/articles/2025-11-24/apple-aapl-cuts-jobs-across-its-sales-organization-in-rare-layoff,Post-IPO,,United States,"Is cutting several sales positions handling accounts ranging from business and schools to government agencies, as it moves to streamline how it sells devices and services to businesses, schools, and government agencies, Bloomberg reports.",techcrunch,0
Playtika,"Herzliya, Israel",700¨C800 ,11/17/2025,,,Consumer,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,Post-IPO,,Israel,"Announced plans to lay off about 20% of its workforce, 700 to 800 employees, next month, marking its fifth round of cuts since 2022, according to Calcalist. The Nasdaq-listed gaming company, valued at $1.5 billion, employs about 3,500 people.",techcrunch,0
Synopsys,"Sunnyvale, California, USA",2000,11/12/2025,,,Hardware,https://fintechbusinessweekly.substack.com/p/celtic-bank-faces-another-lawsuit,Post-IPO,,United States,"Plans to cut roughly 10% of its workforce and close several sites as part of a restructuring tied to its recent acquisition of Ansys, The Wall Street Journal reported. The layoffs, which are expected to affect about 2,000 employees, are scheduled to take place during fiscal 2026, which began November 1.",techcrunch,1
Hewlett-Packard,"San Jose, California, USA",2552,11/05/2025,,,Hardware,https://www.sfchronicle.com/tech/article/layoffs-hpe-hitachi-vantara-21140900.php,Post-IPO,,United States,"Is removing 52 positions at its San Jose campus, according to reporting from the San Francisco Chronicle. The layoffs, which began last month and will continue through November, affect employees across cloud development, engineering, and product management.",techcrunch,0
Amazon,"New York, New York, USA",14660,11/11/2025,,,Retail,https://www.usatoday.com/story/money/2025/11/11/amazon-nyc-layoffs-restructuring-november-2025/87221740007/,Post-IPO,,United States,"After Reuters reported that the company was planning to eliminate up to 30,000 corporate jobs, amounting to roughly 10% of its 350,000 employees in their corporate departments, Amazon shared that it would pursue an ¡°overall reduction in our corporate workforce of approximately 14,000 roles.¡± Since that news broke, Amazon has laid off 660 employees across multiple New York City offices, with more to come through the year.",techcrunch,0
Rivian,"Normal, Illinois, USA",600,10/23/2025,,,Transportation,https://techcrunch.com/2025/10/23/rivian-reportedly-cutting-600-workers-in-third-layoff-of-the-year/,Post-IPO,,United States,"Is cutting 600 jobs, about 4% of its workforce, amid an EV market pullback, marking its third layoff this year. Details of the latest layoffs remain undisclosed, while earlier cuts in June and September affected 100 to 150 employees in its commercial and manufacturing teams.",techcrunch,0
Meta,"Menlo Park, California, USA",600,10/22/2025,,,Consumer,https://techcrunch.com/2025/10/22/meta-cuts-600-ai-jobs-amid-ongoing-reorganization/,Post-IPO,,United States,"Has laid off approximately 600 employees across its AI infrastructure units, including the Fundamental AI Research (FAIR) team and other product-related roles. However, top-tier AI hires in TBD Labs, managed by new chief AI officer Alexandr Wang, will not be affected.",techcrunch,1
Applied Materials,"Santa Clara, California, USA",1400,10/23/2025,,,Hardware,https://www.investing.com/news/stock-market-news/applied-materials-to-lay-off-4-of-workforce-to-simplify-operations-4306282,Post-IPO,,United States,"Plans to cut about 4% of its workforce, or roughly 1,400 jobs, to streamline operations amid tighter U.S. semiconductor export controls",techcrunch,0
Google,"Mountain View, California, USA",100,10/01/2025,,,Consumer,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,Post-IPO,,United States,"Has cut over 100 design roles in its cloud division, hitting U.S.-based teams especially hard, as the company shifts focus toward AI investments, per a CNBC report. Many affected employees have until early December to find a new role within Google, following additional layoffs across its Silicon Valley offices, including at least 50 permanent cuts in Sunnyvale.",techcrunch,1
Paycom,"Oklahoma City, Oklahoma, USA",544,10/01/2025,,,SaaS,https://www.oklahoman.com/story/business/information-technology/2025/10/01/paycom-layoffs-2025-workers-replaced-with-ai/86448337007/,Post-IPO,,United States,"Is reportedly laying off over 500 employees due to AI and automation improving back-office efficiencies. The Oklahoma City-based HR and payroll software company will provide affected workers with severance packages, outplacement services, and access to internal job opportunities.",techcrunch,1
Just Eat,"Amsterdam, Netherlands",450,09/25/2025,,,Consumer,https://www.reuters.com/business/world-at-work/just-eat-lay-off-around-450-employees-partly-automating-operations-2025-09-25/,Post-IPO,,Netherlands,"Will eliminate around 450 jobs as part of a cost and operations review, according to Reuters. The layoffs will span multiple functions and countries, including customer service and sales. Europe¡¯s largest food delivery company said it is increasingly using automation and AI, shifting many manual service tasks to automated systems.",techcrunch,1
Fiverr,"Tel Aviv, Israel",250,09/15/2025,,,Consumer,https://www.wsj.com/business/fiverr-to-cut-about-250-jobs-in-refocusing-effort-reiterates-guidance-8f15ee4b,Post-IPO,,Israel,"Plans to cut around 250 jobs, approximately 30% of its workforce, as part of a push to become a leaner, faster, and AI-focused company, according to The Wall Street Journal. The Tel Aviv-headquartered freelance services marketplace said the restructuring will reduce management layers and position it to pursue growth with an AI-native approach.",techcrunch,1
ZipRecruiter,"Santa Monica, California, USA",80,09/16/2025,,,SaaS,https://www.calcalistech.com/ctechnews/article/pwjukv20s,Post-IPO,,United States,"Is closing its Tel Aviv development center, cutting about 80 jobs. Led by Yosi Taguri, the office specialized in software, data, and AI research, including algorithm development. The California-based recruitment firm, founded in 2010, is trimming costs amid a challenging labor market.",techcrunch,1
Rivian ,"Normal, Illinois, USA",600,09/04/2025,,,Transportation,https://www.wsj.com/business/autos/rivian-layoffs-ev-manufacturer-1f20bc7f,Post-IPO,,United States,"Has reportedly laid off about 200 workers, or 1.5% of its staff, as the company braces for the end of federal EV tax credits under President Trump¡¯s policy changes. The $7,500 incentive for new electric cars expires this month, adding to pressure from cooling demand. Despite the cuts, Rivian says it¡¯s moving ahead with plans for a lower-cost model.",techcrunch,0
Oracle," Seattle, Washington, USA",350-1000,09/03/2025,,,Hardware,https://www.seattletimes.com/business/cloud-computing-giant-oracle-lays-off-more-seattle-workers/,Post-IPO,,United States,"Is cutting another 101 jobs in Seattle and 254 in San Francisco, just weeks after a wave of layoffs in August. The company, which had about 3,900 local employees before the cuts, hasn¡¯t explained the move and declined to comment.",techcrunch,1
Salesforce,"San Francisco, California, USA",4262,09/02/2025,,,SaaS,https://www.kron4.com/news/bay-area/salesforce-laying-off-262-employees-in-san-francisco-after-ceo-praises-ai/,Post-IPO,,United States,"Is trimming another 262 jobs at its San Francisco headquarters, according to a state filing, with layoffs set to take effect November 3. The move comes just weeks after CEO Marc Benioff touted AI¡¯s potential to cut customer support roles and follows a smaller round of cuts in Seattle and Bellevue earlier this month.",techcrunch,1
Cisco,"Milpitas & San Francisco, California, USA",221,08/21/2025,,,Hardware,https://www.sfchronicle.com/tech/article/cisco-oracle-layoffs-bay-area-20824135.php,Post-IPO,,United States,"Will eliminate 221 positions across its Milpitas and San Francisco offices, including 157 in Santa Clara County and 64 in San Francisco, effective October 13, according to filings with California¡¯s Employment Development Department reported by the San Francisco Chronicle. The cuts are part of the company¡¯s broader workforce-reduction strategy.",techcrunch,1
Oracle," Seattle, Washington, USA",254,08/14/2025,,,SaaS,https://www.restaurantbusinessonline.com/technology/tech-supplier-restaurant365-lays-9-staff,Post-IPO,,United States,"Is set to cut 101 jobs at its Santa Clara location, with notices issued on August 13 and terminations effective October 13. The company, which recently disclosed nearly 200 layoffs at its Pleasanton and Redwood City offices, is also planning to lay off 161 employees in Seattle, according to filings with the Washington state Employment Security Department.",techcrunch,1
Peloton,"New York, USA",200-250,08/07/2025,,,Consumer,https://www.theverge.com/news/754154/peloton-q4-2025-earnings-layoffs-wellness-price,Post-IPO,,United States,Will cut 6% of its workforce in its sixth layoff in just over a year. Peloton CEO Peter Stern said the cuts are needed to improve long-term business health.,techcrunch,0
Kaltura,"New York, USA / Israel",70,08/07/2025,,,SaaS,https://www.calcalistech.com/ctechnews/article/6a8duhohw,Post-IPO,,United States,"Is cutting 10% of its workforce, or about 70 employees, as part of a cost-saving effort to reduce operating expenses by $8.5 million, marking its third round of layoffs since 2022. The corporate video software company plans to maintain and gradually grow its sales and marketing budgets, driven by a robust pipeline and growing adoption of its AI-powered offerings.",techcrunch,1
Atlassian,"Sydney, Australia",150,07/30/2025,,,SaaS,https://techcrunch.com/2025/08/05/three-weeks-after-acquiring-windsurf-cognition-offers-staff-the-exit-door/,Post-IPO,,Australia,"Has cut 150 roles in customer service and support, following enhancements to its platform and tools that have significantly reduced support needs. The decision came via a prerecorded message from CEO Mike Cannon-Brookes, just hours before co-founder Scott Farquhar urged Australia to embrace an ¡°AI revolution¡± and move beyond ¡°jobs of the past¡± in an Australian Press Club address. The Australian software firm was founded 2002.",techcrunch,0
Lenovo,"Morrisville, North Carolina, USA",100,07/16/2025,,,Hardware,https://www.newsobserver.com/news/business/article310699130.html,Post-IPO,,Australia,"Plans to cut more than 100 U.S. full-time jobs, about 3% of its workforce, including positions at its Morrisville, North Carolina, campus. As of February 2024, the PC maker employed around 5,100 workers in the U.S.",techcrunch,1
Intel,"Santa Clara, California",3100,07/11/2025,,,Hardware,https://www.oregonlive.com/silicon-forest/2025/07/intel-bombshell-chipmaker-will-lay-off-2400-oregon-workers.html,Post-IPO,,United States,"Is reportedly planning to lay off nearly 2,400 workers in Oregon, which is almost five times more than what was announced earlier this week. Last week, Intel announced that it will lay off more than 500 employees in Oregon, which is about 20% of its workforce, per Bloomberg.  ",techcrunch,1
Microsoft,"Redmond, Washington, USA",9000,07/02/2025,,,SaaS,https://www.cnbc.com/2025/07/02/microsoft-laying-off-about-9000-employees-in-latest-round-of-cuts.html,Post-IPO,,United States,"Will cut 9,000 employees, which is less than 4% of its global workforce across teams, role types, and geographies. The reduction follows a series of layoffs earlier this year: It cut less than 1% of the headcount in January, more than 6,000 in May, and at least 300 in June.",techcrunch,1
TomTom,"Amsterdam, Netherlands",300,06/30/2025,,,SaaS,https://www.tomtom.com/newsroom/press-releases/earnings-other/29121/tomtom-advances-its-product-led-strategy-and-realigns-its-organization/,Post-IPO,,Netherlands,"Announced on June 30 that the company is cutting 300 jobs, or 10% of its workforce, as part of organizational restructuring within its sales and support divisions amid the AI shift. The startup is an Amsterdam-based location tech startup that provides navigation and mapping products.",techcrunch,1
