alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs,CAR_1_1,CAR_0_5,CAR_0_20,CAR_5_60,CAR_5_30,event_id,ticker,company_fyi,announcement_date,ai_mentioned,post_chatgpt,period,listing_region,industry,layoff_count,layoff_pct
-0.0006190405953449783,-0.13080992630680527,0.028095230402662374,243,-0.017514404258634608,-0.04011338391640858,-0.18519376374202945,-0.11980204185336016,-0.11980204185336016,0020.HK_2023-08-28,0020.HK,SenseTime,2023-08-28,0,1,post_genai,INTL,AI,,
-0.0023860498965312168,0.07167819658388813,0.035342721032701085,242,0.1521438021409354,0.10130771300552262,0.29600145479112994,0.4167135538154379,0.4167135538154379,0700.HK_2022-11-15,0700.HK,Tencent,2022-11-15,0,0,pre_genai,INTL,Consumer,,
0.0005648300196757628,0.423300227044187,0.038459084672296195,244,0.0003779495647241761,-0.08928253793037083,-0.14235420618029365,-0.25668558990848234,-0.25668558990848234,9SL.F_2020-08-24,9SL.F,Superloop,2020-08-24,1,0,pre_genai,INTL,Infrastructure,30.0,
0.0004811853838881014,1.2391127322424618,0.7887353619554036,250,-0.0012471887119301218,-0.02571182394272734,-0.020868320185190255,-0.03130002867120062,-0.03130002867120062,AAPL_2023-04-03,AAPL,Apple,2023-04-03,0,1,post_genai,US,Retail,,
-0.00028565543643260653,1.1014847526978935,0.5589614606485336,250,-0.0027780891967793863,-0.05758057220178383,-0.0815325784309985,-0.1094029261648032,-0.1094029261648032,AAPL_2024-02-27,AAPL,Apple,2024-02-27,0,1,post_genai,US,Transportation,,
-0.0003878461037302802,1.320618016657738,0.5971430650809391,250,0.03352539157210964,0.05344925136046129,0.03792868166981657,-0.020209693890232437,-0.020209693890232437,ABNB_2023-03-03,ABNB,Airbnb,2023-03-03,0,1,post_genai,US,Travel,30.0,
-0.003878597284765098,1.3736425949259916,0.2906589729302449,250,0.11514127781219394,0.17136165317060495,0.2725674060572952,0.3267001350171389,0.3267001350171389,ABSI_2022-08-09,ABSI,Absci,2022-08-09,0,0,pre_genai,US,Healthcare,40.0,
-0.0015307120489950273,0.7535633959424006,0.2697357689941521,250,-0.036495842856906754,-0.06693405047100684,-0.05895091532415292,0.1290188106388908,0.1290188106388908,ABSI_2023-09-05,ABSI,Absci,2023-09-05,0,1,post_genai,US,Healthcare,30.0,15%
-0.002547460090023214,1.5978959017632948,0.12543751883271714,250,-0.028034712543198934,-0.034206461217230894,-0.18678696810638518,-0.33086264409792643,-0.33086264409792643,ACB_2024-01-24,ACB,Aurora,2024-01-24,0,1,post_genai,US,Transportation,,3%
-0.0008579846172264212,1.1626913463010786,0.6544347124310739,250,-0.001729457419386786,0.018331238925100052,0.09069682175690075,0.10092648026969137,0.10092648026969137,ADBE_2022-12-06,ADBE,Adobe,2022-12-06,0,1,pre_genai,US,Marketing,100.0,
-6.723459125395766e-05,1.0931328573836687,0.4891428500140519,250,0.022609525376277098,-0.014279320571157971,-0.0430242745673709,0.00843342757014677,0.00843342757014677,ADI_2023-12-13,ADI,Analog Devices,2023-12-13,0,1,post_genai,US,Manufacturing,111.0,
