company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30
Chegg,CHGG,2025-05-12,0,0,0,1,5.76929713646998,61.17672871944352,79.2575052089662
Chewy,CHWY,2023-11-14,0,0,0,1,-0.5502707635991301,-4.85941479809442,8.519666117858069
Cint,CINT,2024-07-01,0,0,0,1,7.48347264996938,20.68346443454334,33.656078463528196
Cellebrite,CLBT,2025-12-03,0,0,1,1,4.77592087781601,-0.43859725719352,-5.54039898891907
Cimpress,CMPR,2023-03-23,0,0,0,1,-4.2998506874515,37.8359397010639,43.049461815677844
Capital One,COF,2023-01-19,0,0,0,1,0.9983507054327099,1.90806044997764,8.249632496202409
Coherent,COHR,2023-03-16,0,0,0,1,-4.7661090038570695,-4.95772166046457,-9.159314108934371
Coinbase,COIN,2022-06-14,0,0,0,0,0.7865340585378,-5.91144004593077,-5.13041747790256
Compass,COMP,2022-06-14,0,0,0,0,-20.625805278220298,-26.57290746089469,-48.81887068243653
Coursera,COUR,2022-11-09,0,0,0,0,-1.96502817001065,-4.557174161218111,10.25666114132365
Coursera,COUR,2024-10-25,0,0,0,1,-3.9135017933958802,-7.61397755592422,17.36215253540484
Freightos,CRGO,2023-07-12,0,0,0,1,-6.8471661286139005,-21.07342621003091,-4.65141748223379
Salesforce,CRM,2020-08-26,0,0,0,0,28.641856091385232,17.82058884183099,23.36410611003023
Salesforce,CRM,2022-10-13,0,0,0,0,2.03478954790953,3.09372021849256,0.59065664100636
Salesforce,CRM,2023-08-02,0,0,0,1,-1.87937228788858,-3.6918797864584603,-2.75280046390751
Salesforce,CRM,2025-02-03,0,0,1,1,0.69504273011874,-8.427013711091499,-2.39056506423207
Salesforce,CRM,2025-08-31,0,0,0,1,2.44516638657069,-3.53630294892602,-0.50113486467898
Criteo,CRTO,2023-02-21,0,0,1,1,0.09048543322878,-9.03355376550657,-3.3876383080248798
Criteo,CRTO,2024-04-12,0,0,0,1,-1.73618907639814,8.050523729174,8.61901398994881
CrowdStrike,CRWD,2025-05-07,0,0,0,1,-2.94770832239749,-5.01440456307283,-2.54834066513566
Cisco,CSCO,2022-11-16,0,0,0,0,3.93148265028795,8.89636458409168,7.00411082751385
Cisco,CSCO,2023-09-17,0,0,0,1,-0.11052508301399001,-3.25554399766887,-6.11429624848046
Cisco,CSCO,2025-08-19,1,1,1,1,1.75166169459632,-3.72695897424798,-11.798789410860481
Cue,CUE,2022-06-27,0,0,0,0,-19.655476482153688,-23.57516172340309,-26.408025616227338
Cue,CUE,2023-01-05,0,0,0,1,4.90303182949157,7.51344901348309,-8.40539039892797
Carvana,CVNA,2022-05-10,0,0,0,0,-22.77762516368962,-37.147630652253376,-31.41265202125194
Carvana,CVNA,2022-11-18,0,0,0,0,-3.5074384960168903,-13.03073301087869,-7.9916934796487205
Sprinklr,CXM,2023-02-15,0,0,0,1,1.9207197622710601,-7.47014777012134,20.15864415047123
Sprinklr,CXM,2024-05-03,0,0,0,1,-0.4219546475832,-11.300107277766699,-35.34702107530582
Sprinklr,CXM,2025-02-06,1,1,1,1,-1.41168256475724,10.6892924831049,16.66681504769209
Cazoo,CZOOF,2023-01-18,0,0,0,1,-24.0027689572927,-45.619149698511066,-37.13963119451691
DoorDash,DASH,2022-11-30,0,0,0,1,-3.4660998658444298,1.89429137313357,-10.46044112112834
Dayforce,DAY,2025-02-26,0,0,0,1,-0.52279427834421,3.4030434135517798,2.75133503776035
Dropbox,DBX,2021-01-13,0,0,0,0,-2.5746868784586803,-4.98536075295457,4.06343406004547
Dropbox,DBX,2023-04-27,0,0,1,1,-5.9057778889446,4.57582409172394,4.15821270817114
Dropbox,DBX,2024-10-30,0,0,0,1,4.61176409629434,5.838319823272671,12.55327631458293
Dell,DELL,2023-02-06,0,0,0,1,-0.31539977221315,-3.9544985394806496,6.368447429694251
Dell,DELL,2023-08-07,0,0,0,1,7.31460697388418,26.17419517605077,34.41516781454495
Dell,DELL,2024-03-25,0,0,1,1,0.3305753752226,6.21255735006142,3.7747508085248205
Definitive Healthcare,DH,2023-01-12,0,0,0,1,-2.1679599805479297,-6.323822782202971,-11.83123602004081
Delivery Hero,DHER.DE,2022-11-03,0,0,0,0,5.57915538973782,14.248038023315551,14.1809342644107
DHI Group,DHX,2023-05-26,0,0,0,1,2.2080525427848,5.16224469721481,5.0060564893167
DraftKings,DKNG,2023-02-01,0,0,0,1,-5.7881005777958805,23.53896693568348,16.97529063367761
Digimarc,DMRC,2023-02-17,0,0,0,1,2.16862351981674,-8.53805819380177,11.82441906404631
Digimarc,DMRC,2025-02-27,0,0,0,1,-30.716967445576017,-37.744644204352454,-40.320811151425666
Ginkgo Bioworks,DNA,2024-06-20,0,0,0,1,0.39341715468635996,-44.84962748662887,-34.5971041794045
DigitalOcean,DOCN,2023-02-15,0,0,0,1,19.204168054699792,20.89556541405543,36.2009846517826
Doximity,DOCS,2023-08-08,0,0,0,1,-23.51001386099998,-27.37189385020703,-40.97167139972181
DocuSign,DOCU,2022-09-28,0,0,0,0,5.84752869470423,-3.19662742759639,0.04424621351139
DocuSign,DOCU,2024-02-06,0,0,0,1,-13.50363173259807,-5.15044081324154,-8.36287752979399
Domo,DOMO,2020-04-09,0,0,0,0,28.641856091385232,58.46516875703768,79.2575052089662
Domo,DOMO,2023-11-30,0,0,0,1,1.8202624777998297,-2.99357161391268,2.2092061258262
Amdocs,DOX,2023-01-02,0,0,0,1,0.8771851595699101,0.67889335192255,1.66316232671435
Amdocs,DOX,2023-07-06,0,0,0,1,-0.76873882795992,-10.836268882655089,-11.57667180613176
Amdocs,DOX,2025-08-12,1,1,1,1,-3.19678775563978,-6.69493524385277,-7.1757362533294
Viant,DSP,2022-12-13,0,0,0,1,1.0592218887076499,20.43394073698449,24.75990198159516
Electronic Arts,EA,2023-02-28,0,0,0,1,1.5067207428501401,8.434520817309279,14.02315589663146
Electronic Arts,EA,2024-02-28,0,0,1,1,-2.52136401344066,-8.74440938762832,-13.234579440436711
Electronic Arts,EA,2025-04-29,0,0,0,1,-1.33539256468492,-3.26114337246586,-4.423246256753719
Eventbrite,EB,2020-04-08,0,0,0,0,16.88540231385291,34.37805799944939,15.41279165785387
Eventbrite,EB,2023-02-28,0,0,0,1,16.183506178984082,10.75895318896162,15.599672523141281
Eventbrite,EB,2024-08-07,0,0,0,1,-9.188796947355069,-17.93599773648311,-46.756167496340254
eBay,EBAY,2023-02-07,0,0,0,1,-2.7087574636386598,-5.56294958935386,-7.86247210415355
eBay,EBAY,2023-12-17,0,0,0,1,1.78965134024538,0.35569934156793,-1.85121275444263
eBay,EBAY,2025-02-26,0,0,0,1,-8.2981613813341,-7.42301928952309,-9.34214510186958
Editas Medicine,EDIT,2023-01-09,0,0,0,1,-17.243177319778567,-13.92592403195723,-18.42857955197183
8x8,EGHT,2022-10-04,0,0,0,0,-2.94919460348682,28.74460819090442,26.59054285750096
Enphase Energy,ENPH,2023-12-18,0,0,0,1,11.5508374864366,-2.16921653726649,12.83737843688782
Enphase Energy,ENPH,2024-11-11,0,0,1,1,-16.98783619058546,8.54902727166843,-14.682823901186401
Enovix,ENVX,2023-10-05,0,0,0,1,-3.73930747170437,13.22639176516755,2.94687696234271
Enovix,ENVX,2024-05-06,0,0,0,1,-8.66036323379806,10.52832845988609,79.2575052089662
Ericsson,ERIC,2023-02-24,0,0,0,1,0.93977490073072,7.3624422645304595,17.01432647995551
Elastic,ESTC,2022-11-30,0,0,0,1,-8.510240680151341,-7.3065133065567,-17.29627659829718
Etsy,ETSY,2023-12-13,0,0,0,1,-7.1177418503469605,-18.77510778940447,-13.81498888446753
Everquote,EVER,2023-07-11,0,0,0,1,6.95172078172612,-27.15560267417883,-3.9474910716240097
EVgo,EVGO,2023-02-23,0,0,0,1,-3.53808726656206,7.29511326802717,32.44962701420535
Expedia,EXPE,2023-03-21,0,0,0,1,0.74153101278415,-0.47446073302974,1.34774062892539
Expedia,EXPE,2025-02-26,0,0,0,1,-2.30434996169413,-12.88130966798523,-14.266818976974069
Funding Circle,FCHL.XC,2020-07-08,0,0,0,0,2.8069301679537797,17.230635710425858,10.420490151388249
F5,FFIV,2022-10-21,0,0,0,0,1.9659873310294702,-1.18886504045189,0.53597803262
F5,FFIV,2023-11-03,0,0,0,1,-1.37286928711128,7.06488758196887,4.52462274019911
F5,FFIV,2024-09-24,0,0,0,1,0.50782688998682,-3.99692053654801,5.5198789067492005
F5,FFIV,2025-08-13,0,0,0,1,-2.20452434461707,-4.03776442585601,-9.5282008330759
Five9,FIVN,2024-08-20,0,1,1,1,2.00981504493418,-16.276033264429792,-10.3897805856289
Five9,FIVN,2025-04-03,0,0,0,1,-5.99793458360715,-1.29161193398725,1.32532949247901
Goodfood,FOOD.TO,2022-04-07,0,0,0,0,5.78549173429136,-21.59975071009855,-1.69552805973172
VerticalScope,FORA.TO,2023-02-01,0,0,0,1,-3.96376564893842,3.51892734444632,-9.21808391228019
Freshworks,FRSH,2022-12-15,0,0,0,1,6.17598286524062,4.84756472106396,-1.49843421106542
Freshworks,FRSH,2024-11-07,0,0,0,1,28.02313265114315,28.610462437342036,32.993664763914474
F-Secure,FSECURE.HE,2023-10-25,0,0,0,1,2.75179379998216,12.175913715957,14.35322315438362
Fastly,FSLY,2024-08-08,0,0,0,1,-20.55144204672009,-16.407446716789508,0.1777833409363
Fortinet,FTNT,2023-08-25,0,0,0,1,-0.5604100011294,-0.58762081213973,-0.53199308001627
FuboTV,FUBO,2022-08-02,0,0,0,0,4.72743452449288,61.17672871944352,79.2575052089662
Fiverr,FVRR,2022-07-26,0,0,0,0,-3.38135198450068,-3.17549071838739,11.03455701319411
Fiverr,FVRR,2025-09-15,0,0,1,1,-1.8625235812524101,-5.25892431890598,-4.52337016723102
GoDaddy,GDDY,2020-06-24,0,0,0,0,-8.793837029507461,-22.29307892246236,-13.103446009918121
GoDaddy,GDDY,2023-02-08,0,0,0,1,1.6973797510480102,-5.96467714581106,-10.90098796620455
