company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30,beta_mkt_ff4,listing_region,layoff_count,layoff_pct,industry,event_sequence,is_first_event
Codexis,CDXS,2022-11-29,0,0,0,0,-0.8576123546928099,-0.27302070536253,20.688758987602853,1.1130585618460838,US,,18%,Healthcare,1,1
Confluent,CFLT,2023-01-26,0,0,0,1,-4.22494265701348,7.552871822310781,6.06091252359078,1.6845454629030094,US,221.0,8%,Data,1,1
ContraFect,CFRXQ,2022-08-15,0,0,0,0,8.44976993359556,-1.12242213185675,-10.209229204391267,0.6850106223718392,US,16.0,37%,Healthcare,1,1
Chegg,CHGG,2023-06-12,0,0,0,1,2.11941597224912,-11.07376767984166,-1.52781945473275,0.8155197924855402,US,80.0,4%,Education,1,1
Chewy,CHWY,2023-11-14,0,0,0,1,-0.5502707635991301,-4.85941479809442,8.519666117858069,1.284747874072511,US,200.0,,Retail,1,1
Cint,CINT,2024-07-01,0,0,0,1,7.48347264996938,20.68346443454334,33.656078463528196,0.5093812149429036,US,,,Data,1,1
Cellebrite,CLBT,2025-12-03,0,0,1,1,4.77592087781601,-0.43859725719352,-5.54039898891907,0.6955573306320697,US,20.0,1%,Other,1,1
Cimpress,CMPR,2023-03-23,0,0,0,1,-4.2998506874515,37.8359397010639,43.04946181567784,1.4597880613060528,US,500.0,,Retail,1,1
Capital One,COF,2023-01-19,0,0,0,1,0.99835070543271,1.90806044997764,8.249632496202409,1.3092795196326226,US,1100.0,,Finance,1,1
Coherent,COHR,2023-03-16,0,0,0,1,-4.7661090038570695,-4.95772166046457,-9.159314108934373,1.164545807243638,US,108.0,,Manufacturing,1,1
Coinbase,COIN,2022-06-14,0,0,0,0,0.7865340585378,-5.91144004593077,-5.13041747790256,1.998829443075934,US,1100.0,18%,Crypto,1,1
Compass,COMP,2022-06-14,0,0,0,0,-20.625805278220295,-26.57290746089469,-48.81887068243653,1.530540477485982,US,450.0,10%,Real Estate,1,1
Coursera,COUR,2022-11-09,0,0,0,0,-1.96502817001065,-4.557174161218111,10.25666114132365,1.0073128441173684,US,,,Education,1,1
Freightos,CRGO,2023-07-12,0,0,0,1,-6.8471661286139005,-21.07342621003091,-4.65141748223379,0.4216512272472252,US,50.0,13%,Logistics,1,1
Salesforce,CRM,2020-08-26,0,0,0,0,28.641856091385232,17.82058884183099,23.36410611003023,1.0129647062528622,US,1000.0,2%,Sales,1,1
Criteo,CRTO,2023-02-21,0,0,1,1,0.09048543322878,-9.03355376550657,-3.38763830802488,0.6533047508420009,US,,,Marketing,1,1
CrowdStrike,CRWD,2025-05-07,0,0,0,1,-2.94770832239749,-5.01440456307283,-2.54834066513566,1.1482161414932734,US,500.0,5%,Security,1,1
Cisco,CSCO,2022-11-16,0,0,0,0,3.93148265028795,8.89636458409168,7.00411082751385,0.8755407118331109,US,4100.0,5%,Infrastructure,1,1
Cue,CUE,2022-06-27,0,0,0,0,-19.655476482153688,-23.57516172340309,-26.408025616227334,0.8369136913192565,US,170.0,,Healthcare,1,1
Carvana,CVNA,2022-05-10,0,0,0,0,-22.77762516368962,-37.147630652253376,-31.41265202125194,1.691419952019014,US,2500.0,12%,Transportation,1,1
Sprinklr,CXM,2023-02-15,0,0,0,1,1.92071976227106,-7.47014777012134,20.15864415047123,0.8981171199515778,US,100.0,4%,Support,1,1
