window,mean_car_pct,se,t,p,stars,N
"CAR[−20, −2]",-0.5440819915531252,0.7463660102288847,-0.7289747712201873,0.46641672917031407,,428
"CAR[−20, −1]",-0.8169475778991222,0.7660216132797266,-1.0664811067162396,0.28680883513330135,,428
"CAR[−20, 0]",-1.1968079433086258,0.844093573440734,-1.417861693260074,0.15696047677509029,,428
"Post-ChatGPT, AI mentioned, CAR[−20, −1]",0.3854473928530906,1.1230623933023152,0.3432110229599084,0.7318739777511643,,167
"Post-ChatGPT, AI mentioned, CAR[−20, 0]",0.3139748420616347,1.2183554618482868,0.25770380803753623,0.7969546977707376,,167
"Post-ChatGPT, AI not mentioned, CAR[−20, −1]",-1.1879550361272475,1.1736458460016874,-1.012192085179961,0.31302366508926593,,156
"Post-ChatGPT, AI not mentioned, CAR[−20, 0]",-1.491966806798705,1.3155233507548387,-1.1341241536629694,0.25849344562100063,,156
