breakpoint,label,is_real,beta3,se,pval,stars,N,sample
2021-06-01,2021-06-01 (Placebo),False,3.2717487320745233,7.616204379731629,0.6675031317439766,,428,US only
2022-01-01,2022-01-01 (Placebo),False,1.635348901072887,5.684582082218572,0.7735905793317928,,428,US only
2022-06-01,2022-06-01 (Placebo),False,3.2767433150137317,5.8011548148827075,0.572180365878385,,428,US only
2022-11-30,2022-11-30 (ChatGPT ★),True,-1.0623400859532555,2.916372619193037,0.7156581837169494,,428,US only
2023-06-01,2023-06-01 (Placebo),False,-3.317005267979742,2.5663868527046705,0.19619075349748727,,428,US only
2023-12-01,2023-12-01 (Placebo),False,-1.3723497336340025,2.6277719627031586,0.6014973829342389,,428,US only
2021-06-01,2021-06-01 (Placebo),False,3.3604242095152634,88.32958919670274,0.9696524802602108,,444,Full
2022-01-01,2022-01-01 (Placebo),False,1.8612553642881409,59.92038520028188,0.9752199833875317,,444,Full
2022-06-01,2022-06-01 (Placebo),False,3.870160904395523,5.624283974458791,0.49137961093526317,,444,Full
2022-11-30,2022-11-30 (ChatGPT ★),True,-0.49584549983312837,2.881171325678697,0.8633600274815784,,444,Full
2023-06-01,2023-06-01 (Placebo),False,-3.0477758352514104,2.5457417147245334,0.2312264891879745,,444,Full
2023-12-01,2023-12-01 (Placebo),False,-1.0286022838851605,2.545908152326576,0.6861967203696715,,444,Full
