event_id,ticker,company_x,event_dt,CAR_CAPM_short_term,CAR_FF4_short_term,percentage_laid_off,funds_raised,ai_mentioned,company_y,prior_6m_return,n_pre,layoff_pct,funds_raised_num,log_funds_raised,year
CVNA_2022-05-10,CVNA,Carvana,2022-05-10,-0.3945209939159409,-0.3328669091071446,0.12,1600.0,1,Carvana,-0.9027019628644896,126,0.12,1600.0,7.3777589082278725,2022
CVNA_2022-11-18,CVNA,Carvana,2022-11-18,-0.3945209939159409,-0.3328669091071446,0.08,1600.0,0,Carvana,-0.8820158698815531,126,0.08,1600.0,7.3777589082278725,2022
CXM_2023-02-15,CXM,Sprinklr,2023-02-15,0.2027861835064511,0.1670268626842324,0.04,429.0,1,Sprinklr,-0.18491060829026906,126,0.04,429.0,6.061456918928017,2023
CXM_2024-05-03,CXM,Sprinklr,2024-05-03,0.2027861835064511,0.1670268626842324,0.03,429.0,1,Sprinklr,-0.23833167631516683,126,0.03,429.0,6.061456918928017,2024
CXM_2025-02-06,CXM,Sprinklr,2025-02-06,0.2027861835064511,0.1670268626842324,0.15,429.0,1,Sprinklr,-0.02867435136398433,126,0.15,429.0,6.061456918928017,2025
CZOOF_2022-06-07,CZOOF,Cazoo,2022-06-07,-0.2228541897627604,-0.2439758414184464,0.15,2000.0,1,Cazoo,-0.8645720074279327,126,0.15,2000.0,7.600902459542082,2022
C_2022-07-01,C,Canoo,2022-07-01,0.0400339387113555,0.0751741247870166,0.06,300.0,0,Canoo,-0.24666955834201354,126,0.06,300.0,5.703782474656201,2022
DBX_2023-04-27,DBX,Dropbox,2023-04-27,0.0970102376477096,0.0987946596282507,0.16,1700.0,0,Dropbox,-0.060146427622755017,126,0.16,1700.0,7.438383530044307,2023
DBX_2024-10-30,DBX,Dropbox,2024-10-30,0.0970102376477096,0.0987946596282507,0.2,1700.0,0,Dropbox,0.09620077762128654,126,0.2,1700.0,7.438383530044307,2024
DELL_2023-02-07,DELL,Dell,2023-02-07,0.2135202461918136,0.2040722243055224,0.05,,0,Dell,-0.12184779549459068,126,0.05,,0.0,2023
DELL_2024-03-25,DELL,Dell,2024-03-25,0.2135202461918136,0.2040722243055224,0.05,,1,Dell,0.5627947818786327,126,0.05,,0.0,2024
DKNG_2023-02-01,DKNG,DraftKings,2023-02-01,0.1753746616796937,0.1013179937174422,0.04,719.0,1,DraftKings,-0.12626247724064898,126,0.04,719.0,6.577861357721047,2023
DMRC_2025-02-27,DMRC,Digimarc,2025-02-27,-0.4038824776628618,-0.370396814994497,0.4,105.0,0,Digimarc,-0.13875771275654003,126,0.4,105.0,4.653960350157523,2025
DOCU_2022-09-28,DOCU,DocuSign,2022-09-28,0.0129189901057605,-0.0116084074822705,0.09,536.0,1,DocuSign,-0.5811459790507756,126,0.09,536.0,6.284134161070802,2022
DOCU_2024-02-06,DOCU,DocuSign,2024-02-06,0.0129189901057605,-0.0116084074822705,0.06,536.0,1,DocuSign,-0.004469725692549109,126,0.06,536.0,6.284134161070802,2024
DOX_2023-01-02,DOX,Amdocs,2023-01-02,0.1090422349157507,0.1051771285424597,0.03,,1,Amdocs,0.07632382749572586,126,0.03,,0.0,2023
DOX_2023-07-06,DOX,Amdocs,2023-07-06,0.1090422349157507,0.1051771285424597,0.06,,1,Amdocs,0.07944873105532513,126,0.06,,0.0,2023
EA_2024-02-28,EA,Electronic Arts,2024-02-28,0.1212135792265867,0.1219129904203109,0.05,2.0,1,Electronic Arts,0.16329161990815688,126,0.05,2.0,0.6931471805599453,2024
EB4.MU_2023-02-28,EB4.MU,Eventbrite,2023-02-28,0.097110233144523,0.0990178207630329,0.08,557.0,0,Eventbrite,0.06292373560162523,121,0.08,557.0,6.322565239927284,2023
EB4.MU_2024-08-07,EB4.MU,Eventbrite,2024-08-07,0.097110233144523,0.0990178207630329,0.11,557.0,0,Eventbrite,-0.5471519089995148,122,0.11,557.0,6.322565239927284,2024
EBAY_2023-02-07,EBAY,eBay,2023-02-07,0.261220221469247,0.2632997402814498,0.04,1200.0,0,eBay,0.03450555428562674,126,0.04,1200.0,7.090076835776092,2023
EBAY_2026-02-26,EBAY,eBay,2026-02-26,0.261220221469247,0.2632997402814498,0.06,1200.0,1,eBay,-0.1639271518201555,126,0.06,1200.0,7.090076835776092,2026
ENPH_2023-12-18,ENPH,Enphase Energy,2023-12-18,0.057936595669973,0.0489297257276309,0.1,116.0,1,Enphase Energy,-0.3799575574416276,126,0.1,116.0,4.7535901911063645,2023
ENPH_2024-11-11,ENPH,Enphase Energy,2024-11-11,0.057936595669973,0.0489297257276309,0.17,116.0,1,Enphase Energy,-0.4497933629703005,126,0.17,116.0,4.7535901911063645,2024
ENVX_2024-05-06,ENVX,Enovix,2024-05-06,-0.0035255484816137,0.0132401505943396,0.33,516.0,1,Enovix,-0.08975321646622458,126,0.33,516.0,6.246106765481563,2024
ERIC_2024-01-23,ERIC,Ericsson,2024-01-23,0.0792007208685051,0.0692831887859984,0.08,663.0,0,Ericsson,0.17047437102081875,126,0.08,663.0,6.4967749901858625,2024
FFIV_2022-10-21,FFIV,F5,2022-10-21,0.1768611522389136,0.1796583695100514,0.01,,0,F5,-0.3234118510232813,126,0.01,,0.0,2022
FFIV_2023-11-03,FFIV,F5,2023-11-03,0.1768611522389136,0.1796583695100514,0.02,,0,F5,0.15419553554050403,126,0.02,,0.0,2023
FFIV_2025-08-13,FFIV,F5,2025-08-13,0.1768611522389136,0.1796583695100514,0.02,,0,F5,0.034868692912198185,126,0.02,,0.0,2025
FIVN_2024-08-20,FIVN,Five9,2024-08-20,0.112303289783979,0.0245984824793034,0.07,862.0,1,Five9,-0.568516710405141,126,0.07,862.0,6.759255270663693,2024
FIVN_2025-04-03,FIVN,Five9,2025-04-03,0.112303289783979,0.0245984824793034,0.04,862.0,0,Five9,-0.0909297586609128,126,0.04,862.0,6.759255270663693,2025
FOUR_2023-03-29,FOUR,Shift,2023-03-29,0.1490154351699909,0.1769117829072825,0.3,504.0,1,Shift,0.49812117073533524,126,0.3,504.0,6.222576268071369,2023
FOUR_2023-10-06,FOUR,Shift,2023-10-06,0.1490154351699909,0.1769117829072825,1.0,504.0,0,Shift,-0.287841293759179,126,1.0,504.0,6.222576268071369,2023
FRSH_2022-12-15,FRSH,Freshworks,2022-12-15,0.3541814961154322,0.3345622953062669,0.02,484.0,0,Freshworks,0.1962767585711389,126,0.02,484.0,6.182084906716632,2022
FRSH_2024-11-07,FRSH,Freshworks,2024-11-07,0.3541814961154322,0.3345622953062669,0.13,484.0,1,Freshworks,-0.07671516189235794,126,0.13,484.0,6.182084906716632,2024
FVRR_2022-07-26,FVRR,Fiverr,2022-07-26,-0.0400194072260517,-0.0153771550923748,0.08,111.0,1,Fiverr,-0.6613850280275555,126,0.08,111.0,4.709530201312334,2022
FVRR_2025-09-15,FVRR,Fiverr,2025-09-15,-0.0400194072260517,-0.0153771550923748,0.3,111.0,0,Fiverr,-0.10657417419268267,126,0.3,111.0,4.709530201312334,2025
