ticker,announcement_date,prior_6m_return
EVGO,2023-02-23,-0.32818929728234936
EXPE,2023-03-21,0.0670402379776407
EXPE,2025-02-26,0.7207764898277098
FCHL.XC,2020-07-08,-0.062222205268010033
FCHL.XC,2024-05-29,1.2021278301047431
FFIV,2022-10-21,-0.28025717464971844
FFIV,2023-11-03,0.1069617654518571
FFIV,2024-09-24,0.036282590917650515
FFIV,2025-08-13,0.13775133692073682
FIVN,2024-08-20,-0.4522024114837294
FIVN,2025-04-03,0.04932261631779067
FOOD.TO,2022-04-07,-0.7131782955970123
FORA.TO,2023-02-01,-0.1274090486741455
FRSH,2022-12-15,-0.03524803998758674
FRSH,2024-11-07,-0.39740823047691565
FSECURE.HE,2023-10-25,-0.45857363988003497
FSLY,2024-08-08,-0.6275460952588319
FTNT,2023-08-25,0.015425922083466492
FUBO,2022-08-02,-0.8147058802904963
FVRR,2022-07-26,-0.6512951181904908
FVRR,2025-09-15,-0.09571209493396537
GDDY,2020-06-24,0.18285795624476853
GDDY,2023-02-08,0.10919306006253904
GDRX,2022-08-31,-0.7317431213658874
GH,2023-01-25,-0.4102291692387384
GOCO,2022-08-09,-0.7835341266814536
GOOG,2023-01-20,-0.23003816255964293
GOOG,2023-09-13,0.462708119173729
GOOG,2025-02-27,0.13385794069852763
GPRO,2020-04-15,-0.47462685476603084
GPRO,2024-03-26,-0.3197674781261336
GRAB,2023-06-20,2.886579864025407e-15
GRPN,2020-04-13,-0.6357142925262433
GRPN,2022-08-08,-0.5212669800414508
GTLB,2023-02-09,-0.09386350064060656
GTM,2023-06-02,-0.28238673702555384
GTM,2025-06-09,-0.01647784209922809
GWRE,2022-08-11,-0.21591730635295137
HIMS,2025-05-30,1.6108500354664224
HOOD,2023-06-26,0.011714552998446814
HPE,2025-03-06,0.18608116387140683
HPE,2025-11-05,0.5553868159446456
HPQ,2023-02-19,-0.06610335239672327
HPQ,2025-02-28,-0.005548250656372433
HPQ,2025-11-25,-0.08576307585493081
HUBS,2023-01-31,0.1534106246130411
HUBS,2024-01-24,0.051383138361520864
IAC,2024-01-10,-0.1298147583140128
IBM,2023-01-25,0.043203663365863454
IBM,2024-03-12,0.3090628713978385
IFX.DE,2024-08-05,-0.03466340873577023
ILMN,2022-11-14,-0.21456259465687844
ILMN,2023-06-21,-0.04663587603444119
INTC,2022-12-06,-0.2658093507183992
INTC,2023-08-17,0.2367865454048661
